svg	png	kind	xml	forbidden	dashed_marker	connector	geometry	endpoint	mixed_corner	sequence_style	render	png_dims	log
docs/assets/readme-diagrams/issue-48-observability-readiness-r2dbc-01.svg	docs/assets/readme-diagrams/issue-48-observability-readiness-r2dbc-01.png	diagram	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/issue-48-observability-readiness-r2dbc-01.svg.log
docs/assets/readme-diagrams/issue-89-example-parity-map-01.svg	docs/assets/readme-diagrams/issue-89-example-parity-map-01.png	diagram	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1600	/tmp/exposed-r2dbc-diagram-audit/issue-89-example-parity-map-01.svg.log
docs/assets/readme-diagrams/root-readme-overview-01.svg	docs/assets/readme-diagrams/root-readme-overview-01.png	overview	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1600	/tmp/exposed-r2dbc-diagram-audit/root-readme-overview-01.svg.log
docs/assets/readme-diagrams/root-readme-repository-structure-03.svg	docs/assets/readme-diagrams/root-readme-repository-structure-03.png	repository	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1600	/tmp/exposed-r2dbc-diagram-audit/root-readme-repository-structure-03.svg.log
docs/assets/readme-diagrams/root-readme-runtime-architecture-02.svg	docs/assets/readme-diagrams/root-readme-runtime-architecture-02.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1600	/tmp/exposed-r2dbc-diagram-audit/root-readme-runtime-architecture-02.svg.log
docs/images/readme-diagrams/00-shared-exposed-r2dbc-shared-class-02.svg	docs/images/readme-diagrams/00-shared-exposed-r2dbc-shared-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1760	/tmp/exposed-r2dbc-diagram-audit/00-shared-exposed-r2dbc-shared-class-02.svg.log
docs/images/readme-diagrams/00-shared-exposed-r2dbc-shared-erd-01.svg	docs/images/readme-diagrams/00-shared-exposed-r2dbc-shared-erd-01.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1660	/tmp/exposed-r2dbc-diagram-audit/00-shared-exposed-r2dbc-shared-erd-01.svg.log
docs/images/readme-diagrams/00-shared-exposed-r2dbc-shared-sequence-03.svg	docs/images/readme-diagrams/00-shared-exposed-r2dbc-shared-sequence-03.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	2170x2028	/tmp/exposed-r2dbc-diagram-audit/00-shared-exposed-r2dbc-shared-sequence-03.svg.log
docs/images/readme-diagrams/01-spring-boot-spring-webflux-exposed-class-02.svg	docs/images/readme-diagrams/01-spring-boot-spring-webflux-exposed-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1760	/tmp/exposed-r2dbc-diagram-audit/01-spring-boot-spring-webflux-exposed-class-02.svg.log
docs/images/readme-diagrams/01-spring-boot-spring-webflux-exposed-erd-01.svg	docs/images/readme-diagrams/01-spring-boot-spring-webflux-exposed-erd-01.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1660	/tmp/exposed-r2dbc-diagram-audit/01-spring-boot-spring-webflux-exposed-erd-01.svg.log
docs/images/readme-diagrams/01-spring-boot-spring-webflux-exposed-sequence-03.svg	docs/images/readme-diagrams/01-spring-boot-spring-webflux-exposed-sequence-03.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	2170x1732	/tmp/exposed-r2dbc-diagram-audit/01-spring-boot-spring-webflux-exposed-sequence-03.svg.log
docs/images/readme-diagrams/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-class-02.svg	docs/images/readme-diagrams/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1760	/tmp/exposed-r2dbc-diagram-audit/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-class-02.svg.log
docs/images/readme-diagrams/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-erd-01.svg	docs/images/readme-diagrams/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-erd-01.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1660	/tmp/exposed-r2dbc-diagram-audit/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-erd-01.svg.log
docs/images/readme-diagrams/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-sequence-03.svg	docs/images/readme-diagrams/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-sequence-03.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	2480x3360	/tmp/exposed-r2dbc-diagram-audit/03-exposed-r2dbc-basic-exposed-r2dbc-sql-example-sequence-03.svg.log
docs/images/readme-diagrams/04-exposed-r2dbc-ddl-01-connection-class-02.svg	docs/images/readme-diagrams/04-exposed-r2dbc-ddl-01-connection-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1880	/tmp/exposed-r2dbc-diagram-audit/04-exposed-r2dbc-ddl-01-connection-class-02.svg.log
docs/images/readme-diagrams/04-exposed-r2dbc-ddl-01-connection-sequence-01.svg	docs/images/readme-diagrams/04-exposed-r2dbc-ddl-01-connection-sequence-01.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3200x2480	/tmp/exposed-r2dbc-diagram-audit/04-exposed-r2dbc-ddl-01-connection-sequence-01.svg.log
docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-architecture-02.svg	docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-architecture-02.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x2240	/tmp/exposed-r2dbc-diagram-audit/04-exposed-r2dbc-ddl-02-ddl-architecture-02.svg.log
docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-class-01.svg	docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3000x2240	/tmp/exposed-r2dbc-diagram-audit/04-exposed-r2dbc-ddl-02-ddl-class-01.svg.log
docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-erd-03.svg	docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-erd-03.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2560x1720	/tmp/exposed-r2dbc-diagram-audit/04-exposed-r2dbc-ddl-02-ddl-erd-03.svg.log
docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-sequence-04.svg	docs/images/readme-diagrams/04-exposed-r2dbc-ddl-02-ddl-sequence-04.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3200x2440	/tmp/exposed-r2dbc-diagram-audit/04-exposed-r2dbc-ddl-02-ddl-sequence-04.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-01-dml-class-02.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-01-dml-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1880	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-01-dml-class-02.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-01-dml-erd-01.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-01-dml-erd-01.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1800	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-01-dml-erd-01.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-01-dml-sequence-03.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-01-dml-sequence-03.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3320x2480	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-01-dml-sequence-03.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-02-types-architecture-02.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-02-types-architecture-02.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3000x2000	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-02-types-architecture-02.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-02-types-class-01.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-02-types-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1960	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-02-types-class-01.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-03-functions-architecture-01.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-03-functions-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1920	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-03-functions-architecture-01.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-03-functions-class-02.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-03-functions-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1880	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-03-functions-class-02.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-04-transactions-architecture-02.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-04-transactions-architecture-02.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2880x1920	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-04-transactions-architecture-02.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-04-transactions-architecture-03.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-04-transactions-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1720	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-04-transactions-architecture-03.svg.log
docs/images/readme-diagrams/05-exposed-r2dbc-dml-04-transactions-sequence-01.svg	docs/images/readme-diagrams/05-exposed-r2dbc-dml-04-transactions-sequence-01.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3600x2640	/tmp/exposed-r2dbc-diagram-audit/05-exposed-r2dbc-dml-04-transactions-sequence-01.svg.log
docs/images/readme-diagrams/06-advanced-01-exposed-r2dbc-crypt-class-01.svg	docs/images/readme-diagrams/06-advanced-01-exposed-r2dbc-crypt-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1720	/tmp/exposed-r2dbc-diagram-audit/06-advanced-01-exposed-r2dbc-crypt-class-01.svg.log
docs/images/readme-diagrams/06-advanced-01-exposed-r2dbc-crypt-sequence-02.svg	docs/images/readme-diagrams/06-advanced-01-exposed-r2dbc-crypt-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3400x2320	/tmp/exposed-r2dbc-diagram-audit/06-advanced-01-exposed-r2dbc-crypt-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-02-exposed-r2dbc-javatime-architecture-02.svg	docs/images/readme-diagrams/06-advanced-02-exposed-r2dbc-javatime-architecture-02.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1760	/tmp/exposed-r2dbc-diagram-audit/06-advanced-02-exposed-r2dbc-javatime-architecture-02.svg.log
docs/images/readme-diagrams/06-advanced-02-exposed-r2dbc-javatime-class-01.svg	docs/images/readme-diagrams/06-advanced-02-exposed-r2dbc-javatime-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1800	/tmp/exposed-r2dbc-diagram-audit/06-advanced-02-exposed-r2dbc-javatime-class-01.svg.log
docs/images/readme-diagrams/06-advanced-03-exposed-r2dbc-kotlin-datetime-architecture-03.svg	docs/images/readme-diagrams/06-advanced-03-exposed-r2dbc-kotlin-datetime-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1640	/tmp/exposed-r2dbc-diagram-audit/06-advanced-03-exposed-r2dbc-kotlin-datetime-architecture-03.svg.log
docs/images/readme-diagrams/06-advanced-03-exposed-r2dbc-kotlin-datetime-class-01.svg	docs/images/readme-diagrams/06-advanced-03-exposed-r2dbc-kotlin-datetime-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1800	/tmp/exposed-r2dbc-diagram-audit/06-advanced-03-exposed-r2dbc-kotlin-datetime-class-01.svg.log
docs/images/readme-diagrams/06-advanced-03-exposed-r2dbc-kotlin-datetime-sequence-02.svg	docs/images/readme-diagrams/06-advanced-03-exposed-r2dbc-kotlin-datetime-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3400x2560	/tmp/exposed-r2dbc-diagram-audit/06-advanced-03-exposed-r2dbc-kotlin-datetime-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-04-exposed-r2dbc-json-architecture-03.svg	docs/images/readme-diagrams/06-advanced-04-exposed-r2dbc-json-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x1920	/tmp/exposed-r2dbc-diagram-audit/06-advanced-04-exposed-r2dbc-json-architecture-03.svg.log
docs/images/readme-diagrams/06-advanced-04-exposed-r2dbc-json-class-01.svg	docs/images/readme-diagrams/06-advanced-04-exposed-r2dbc-json-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x2080	/tmp/exposed-r2dbc-diagram-audit/06-advanced-04-exposed-r2dbc-json-class-01.svg.log
docs/images/readme-diagrams/06-advanced-04-exposed-r2dbc-json-sequence-02.svg	docs/images/readme-diagrams/06-advanced-04-exposed-r2dbc-json-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	3400x2560	/tmp/exposed-r2dbc-diagram-audit/06-advanced-04-exposed-r2dbc-json-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-05-exposed-r2dbc-money-architecture-02.svg	docs/images/readme-diagrams/06-advanced-05-exposed-r2dbc-money-architecture-02.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x1920	/tmp/exposed-r2dbc-diagram-audit/06-advanced-05-exposed-r2dbc-money-architecture-02.svg.log
docs/images/readme-diagrams/06-advanced-05-exposed-r2dbc-money-class-01.svg	docs/images/readme-diagrams/06-advanced-05-exposed-r2dbc-money-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x2080	/tmp/exposed-r2dbc-diagram-audit/06-advanced-05-exposed-r2dbc-money-class-01.svg.log
docs/images/readme-diagrams/06-advanced-05-exposed-r2dbc-money-erd-03.svg	docs/images/readme-diagrams/06-advanced-05-exposed-r2dbc-money-erd-03.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x1880	/tmp/exposed-r2dbc-diagram-audit/06-advanced-05-exposed-r2dbc-money-erd-03.svg.log
docs/images/readme-diagrams/06-advanced-06-exposed-r2dbc-custom-columns-architecture-03.svg	docs/images/readme-diagrams/06-advanced-06-exposed-r2dbc-custom-columns-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1760	/tmp/exposed-r2dbc-diagram-audit/06-advanced-06-exposed-r2dbc-custom-columns-architecture-03.svg.log
docs/images/readme-diagrams/06-advanced-06-exposed-r2dbc-custom-columns-class-01.svg	docs/images/readme-diagrams/06-advanced-06-exposed-r2dbc-custom-columns-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2720x1880	/tmp/exposed-r2dbc-diagram-audit/06-advanced-06-exposed-r2dbc-custom-columns-class-01.svg.log
docs/images/readme-diagrams/06-advanced-06-exposed-r2dbc-custom-columns-sequence-02.svg	docs/images/readme-diagrams/06-advanced-06-exposed-r2dbc-custom-columns-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	4400x3360	/tmp/exposed-r2dbc-diagram-audit/06-advanced-06-exposed-r2dbc-custom-columns-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-architecture-04.svg	docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-architecture-04.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2720	/tmp/exposed-r2dbc-diagram-audit/06-advanced-07-exposed-r2dbc-custom-entities-architecture-04.svg.log
docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-class-01.svg	docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2920x1960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-07-exposed-r2dbc-custom-entities-class-01.svg.log
docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-erd-02.svg	docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-erd-02.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x1960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-07-exposed-r2dbc-custom-entities-erd-02.svg.log
docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-sequence-03.svg	docs/images/readme-diagrams/06-advanced-07-exposed-r2dbc-custom-entities-sequence-03.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	4400x3360	/tmp/exposed-r2dbc-diagram-audit/06-advanced-07-exposed-r2dbc-custom-entities-sequence-03.svg.log
docs/images/readme-diagrams/06-advanced-08-exposed-r2dbc-jackson-class-01.svg	docs/images/readme-diagrams/06-advanced-08-exposed-r2dbc-jackson-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-08-exposed-r2dbc-jackson-class-01.svg.log
docs/images/readme-diagrams/06-advanced-08-exposed-r2dbc-jackson-erd-03.svg	docs/images/readme-diagrams/06-advanced-08-exposed-r2dbc-jackson-erd-03.png	erd	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2560	/tmp/exposed-r2dbc-diagram-audit/06-advanced-08-exposed-r2dbc-jackson-erd-03.svg.log
docs/images/readme-diagrams/06-advanced-08-exposed-r2dbc-jackson-sequence-02.svg	docs/images/readme-diagrams/06-advanced-08-exposed-r2dbc-jackson-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	4400x3400	/tmp/exposed-r2dbc-diagram-audit/06-advanced-08-exposed-r2dbc-jackson-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-09-exposed-r2dbc-fastjson2-architecture-03.svg	docs/images/readme-diagrams/06-advanced-09-exposed-r2dbc-fastjson2-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2720	/tmp/exposed-r2dbc-diagram-audit/06-advanced-09-exposed-r2dbc-fastjson2-architecture-03.svg.log
docs/images/readme-diagrams/06-advanced-09-exposed-r2dbc-fastjson2-class-01.svg	docs/images/readme-diagrams/06-advanced-09-exposed-r2dbc-fastjson2-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-09-exposed-r2dbc-fastjson2-class-01.svg.log
docs/images/readme-diagrams/06-advanced-09-exposed-r2dbc-fastjson2-sequence-02.svg	docs/images/readme-diagrams/06-advanced-09-exposed-r2dbc-fastjson2-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	4400x3400	/tmp/exposed-r2dbc-diagram-audit/06-advanced-09-exposed-r2dbc-fastjson2-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-11-exposed-r2dbc-jackson3-architecture-03.svg	docs/images/readme-diagrams/06-advanced-11-exposed-r2dbc-jackson3-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2840	/tmp/exposed-r2dbc-diagram-audit/06-advanced-11-exposed-r2dbc-jackson3-architecture-03.svg.log
docs/images/readme-diagrams/06-advanced-11-exposed-r2dbc-jackson3-class-01.svg	docs/images/readme-diagrams/06-advanced-11-exposed-r2dbc-jackson3-class-01.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-11-exposed-r2dbc-jackson3-class-01.svg.log
docs/images/readme-diagrams/06-advanced-11-exposed-r2dbc-jackson3-sequence-02.svg	docs/images/readme-diagrams/06-advanced-11-exposed-r2dbc-jackson3-sequence-02.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	4400x3400	/tmp/exposed-r2dbc-diagram-audit/06-advanced-11-exposed-r2dbc-jackson3-sequence-02.svg.log
docs/images/readme-diagrams/06-advanced-12-exposed-r2dbc-tink-architecture-03.svg	docs/images/readme-diagrams/06-advanced-12-exposed-r2dbc-tink-architecture-03.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2720	/tmp/exposed-r2dbc-diagram-audit/06-advanced-12-exposed-r2dbc-tink-architecture-03.svg.log
docs/images/readme-diagrams/06-advanced-12-exposed-r2dbc-tink-class-02.svg	docs/images/readme-diagrams/06-advanced-12-exposed-r2dbc-tink-class-02.png	class	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	4400x2960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-12-exposed-r2dbc-tink-class-02.svg.log
docs/images/readme-diagrams/06-advanced-12-exposed-r2dbc-tink-sequence-01.svg	docs/images/readme-diagrams/06-advanced-12-exposed-r2dbc-tink-sequence-01.png	sequence	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	4400x3400	/tmp/exposed-r2dbc-diagram-audit/06-advanced-12-exposed-r2dbc-tink-sequence-01.svg.log
docs/images/readme-diagrams/06-advanced-architecture-01.svg	docs/images/readme-diagrams/06-advanced-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x1960	/tmp/exposed-r2dbc-diagram-audit/06-advanced-architecture-01.svg.log
docs/images/readme-diagrams/07-jpa-convert-01-convert-jpa-basic-architecture-01.svg	docs/images/readme-diagrams/07-jpa-convert-01-convert-jpa-basic-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x2080	/tmp/exposed-r2dbc-diagram-audit/07-jpa-convert-01-convert-jpa-basic-architecture-01.svg.log
